[1209/162224.763:INFO:CONSOLE(585)] "Uncaught TypeError: Cannot read property 'value' of undefined", source: file:///C:/Users/summerki/Desktop/2018-12-9/code/DCPC_Project/DirectConnectionPredictControl/bin/Debug/Charts/test.html (585)
[1228/170718.989:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170723.254:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170723.995:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170728.260:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170729.005:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170733.271:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170734.016:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170738.277:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170739.021:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170743.282:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170744.026:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170748.287:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170749.032:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170753.292:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170754.037:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170758.296:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170759.042:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170803.303:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170804.049:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170808.309:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170809.054:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170813.317:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170814.061:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170818.323:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170819.066:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170823.346:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170824.084:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170828.352:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170829.113:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170833.360:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
